program,tool_id,item,vendor,lead_time_days_planned,lead_time_days_actual,expedite_spend_usd,expedite_reason,need_by_date,promise_date,received_date
Nova-Upgrade,T-NO-06,Valve Manifold,VendorE,43,101,830.17,Missing parts,2026-03-26,2026-03-05,
Atlas-Sustaining,T-AT-02,Control Cabinet,VendorA,74,73,0.0,,2026-05-20,2026-04-13,2026-04-28
Helios-NewBay,T-HE-08,Chiller,VendorE,94,76,0.0,,2026-06-28,2026-06-29,
Nova-Upgrade,T-NO-10,Valve Manifold,VendorF,113,144,0.0,,2026-02-19,2026-03-08,2026-03-06
Nova-Upgrade,T-NO-07,MFC,VendorD,106,75,0.0,,2025-08-20,2025-08-18,2025-08-11
Phoenix-ETD,T-PH-05,Valve Manifold,VendorD,30,80,3999.33,Missing parts,2026-01-19,2026-01-16,2026-02-05
Phoenix-ETD,T-PH-09,Tool Frame,VendorE,89,147,0.0,,2026-03-25,2026-03-03,
Atlas-Sustaining,T-AT-03,Vac Pump,VendorB,59,96,0.0,,2025-11-02,2025-10-06,2025-10-15
Nova-Upgrade,T-NO-06,Tool Frame,VendorE,162,197,0.0,,2025-07-26,2025-07-29,2025-07-29
Atlas-Sustaining,T-AT-04,RF Gen,VendorC,96,117,0.0,,2026-06-10,2026-06-30,
Nova-Upgrade,T-NO-02,Chiller,VendorD,168,148,0.0,,2025-11-08,2025-11-08,2025-11-17
Phoenix-ETD,T-PH-08,Vac Pump,VendorA,51,84,0.0,,2025-09-07,2025-09-25,2025-09-18
Phoenix-ETD,T-PH-05,Tool Frame,VendorE,139,152,0.0,,2026-05-28,2026-06-09,2026-06-25
Phoenix-ETD,T-PH-07,Control Cabinet,VendorD,63,90,0.0,,2026-05-25,2026-04-29,
Atlas-Sustaining,T-AT-09,Gas Box,VendorB,41,91,1181.57,Missing parts,2026-05-12,2026-04-12,2026-05-07
Phoenix-ETD,T-PH-04,Vac Pump,VendorF,144,161,6820.04,Late ECO,2025-07-08,2025-07-06,2025-07-30
Nova-Upgrade,T-NO-02,Tool Frame,VendorD,43,74,0.0,,2026-02-09,2026-01-13,2026-01-08
Helios-NewBay,T-HE-06,Valve Manifold,VendorF,78,76,0.0,,2025-11-08,2025-11-05,
Helios-NewBay,T-HE-08,Valve Manifold,VendorB,113,196,0.0,,2025-11-09,2025-11-05,2025-10-31
Phoenix-ETD,T-PH-04,MFC,VendorF,106,141,0.0,,2025-09-04,2025-08-05,
Nova-Upgrade,T-NO-01,Vac Pump,VendorC,154,208,0.0,,2025-09-12,2025-08-22,
Helios-NewBay,T-HE-04,MFC,VendorA,77,65,0.0,,2025-10-22,2025-10-24,2025-11-22
Helios-NewBay,T-HE-05,RF Gen,VendorC,137,173,0.0,,2025-11-11,2025-10-10,2025-10-13
Orion-Ramp,T-OR-07,Harness,VendorA,142,175,3891.27,Missing parts,2025-08-29,2025-08-28,
Orion-Ramp,T-OR-07,Sensors Kit,VendorF,147,104,0.0,,2025-12-28,2025-12-06,2025-12-26
Helios-NewBay,T-HE-06,RF Gen,VendorD,61,39,1205.42,Missing parts,2026-03-25,2026-04-08,2026-04-21
Atlas-Sustaining,T-AT-04,Sensors Kit,VendorA,149,197,0.0,,2026-01-05,2026-01-01,2025-12-30
Orion-Ramp,T-OR-10,Valve Manifold,VendorB,177,184,5557.73,Capacity constraint,2025-07-05,2025-06-09,2025-07-06
Nova-Upgrade,T-NO-08,Sensors Kit,VendorE,159,102,0.0,,2026-01-18,2025-12-15,2025-12-09
Orion-Ramp,T-OR-10,MFC,VendorB,173,202,4607.41,Air freight,2025-08-04,2025-08-21,
Orion-Ramp,T-OR-04,Pressure Transducer,VendorE,60,86,0.0,,2025-08-05,2025-07-24,2025-07-28
Nova-Upgrade,T-NO-04,Pressure Transducer,VendorD,138,135,6328.18,Missing parts,2026-01-25,2026-01-30,2026-01-26
Atlas-Sustaining,T-AT-06,MFC,VendorE,177,149,3867.38,Priority build,2026-05-12,2026-05-06,2026-05-25
Nova-Upgrade,T-NO-02,Chiller,VendorB,75,109,0.0,,2025-10-19,2025-09-26,2025-10-23
Atlas-Sustaining,T-AT-06,Pressure Transducer,VendorE,152,200,0.0,,2026-05-28,2026-05-04,2026-05-31
Phoenix-ETD,T-PH-04,Harness,VendorF,42,39,541.93,Air freight,2026-02-18,2026-02-23,2026-03-12
Helios-NewBay,T-HE-05,Valve Manifold,VendorA,151,187,0.0,,2025-07-29,2025-07-17,2025-08-09
Helios-NewBay,T-HE-07,Tool Frame,VendorC,171,180,0.0,,2026-05-13,2026-05-28,
Orion-Ramp,T-OR-08,Chiller,VendorB,50,72,2958.51,Priority build,2025-08-21,2025-07-16,
Orion-Ramp,T-OR-03,Vac Pump,VendorF,72,149,0.0,,2026-01-28,2026-01-15,
Helios-NewBay,T-HE-08,Chiller,VendorE,123,178,0.0,,2026-05-07,2026-05-17,2026-06-02
Nova-Upgrade,T-NO-06,Chiller,VendorF,156,216,0.0,,2025-12-01,2025-11-16,2025-12-11
Orion-Ramp,T-OR-04,Tool Frame,VendorB,165,156,104.02,Supplier expedite,2025-09-29,2025-09-21,
Nova-Upgrade,T-NO-08,Control Cabinet,VendorF,54,85,0.0,,2025-07-20,2025-07-06,2025-07-18
Phoenix-ETD,T-PH-04,Control Cabinet,VendorB,152,129,0.0,,2025-07-06,2025-07-23,
Helios-NewBay,T-HE-09,MFC,VendorD,117,174,6229.27,Air freight,2025-08-13,2025-08-18,2025-09-03
Atlas-Sustaining,T-AT-07,MFC,VendorE,118,174,9347.8,Missing parts,2026-04-14,2026-03-16,
Orion-Ramp,T-OR-05,Pressure Transducer,VendorF,118,150,0.0,,2026-01-18,2025-12-23,2026-01-10
Atlas-Sustaining,T-AT-08,Vac Pump,VendorC,120,122,0.0,,2025-10-11,2025-09-30,2025-10-20
Helios-NewBay,T-HE-05,MFC,VendorB,45,58,5203.1,Capacity constraint,2025-09-11,2025-08-16,2025-08-21
Atlas-Sustaining,T-AT-06,RF Gen,VendorB,155,218,0.0,,2026-02-28,2026-02-24,2026-03-05
Phoenix-ETD,T-PH-07,Control Cabinet,VendorD,45,59,0.0,,2026-02-27,2026-03-11,
Orion-Ramp,T-OR-03,Tool Frame,VendorA,30,56,0.0,,2026-02-22,2026-02-24,2026-02-15
Nova-Upgrade,T-NO-07,Pressure Transducer,VendorB,110,139,0.0,,2025-12-09,2025-11-14,2025-11-30
Orion-Ramp,T-OR-07,Chiller,VendorF,54,65,15368.27,Late ECO,2025-08-31,2025-08-07,2025-08-16
Nova-Upgrade,T-NO-08,Tool Frame,VendorB,34,45,0.0,,2025-12-02,2025-12-17,
Atlas-Sustaining,T-AT-05,Tool Frame,VendorB,50,92,6771.02,Supplier expedite,2026-06-26,2026-06-02,
Nova-Upgrade,T-NO-09,Vac Pump,VendorC,50,99,0.0,,2026-01-07,2026-01-01,2026-01-11
Helios-NewBay,T-HE-08,RF Gen,VendorC,96,121,0.0,,2026-04-19,2026-03-12,
Atlas-Sustaining,T-AT-07,Sensors Kit,VendorB,91,79,0.0,,2025-11-30,2025-10-25,
Orion-Ramp,T-OR-07,RF Gen,VendorC,136,204,0.0,,2025-11-20,2025-10-27,2025-11-12
Orion-Ramp,T-OR-04,Pressure Transducer,VendorB,25,83,0.0,,2026-05-17,2026-04-19,
Orion-Ramp,T-OR-05,Tool Frame,VendorD,166,153,0.0,,2026-03-25,2026-03-16,2026-03-27
Nova-Upgrade,T-NO-01,MFC,VendorD,178,248,0.0,,2025-11-10,2025-11-06,
Atlas-Sustaining,T-AT-02,Vac Pump,VendorC,113,148,0.0,,2025-12-26,2025-12-22,2026-01-14
Atlas-Sustaining,T-AT-02,Control Cabinet,VendorE,95,93,0.0,,2025-07-26,2025-07-26,2025-07-29
Orion-Ramp,T-OR-03,MFC,VendorD,92,132,0.0,,2026-06-03,2026-05-06,2026-05-07
Atlas-Sustaining,T-AT-07,Valve Manifold,VendorB,32,84,0.0,,2026-05-21,2026-06-08,2026-06-24
Nova-Upgrade,T-NO-02,Valve Manifold,VendorF,177,194,0.0,,2025-10-28,2025-11-02,2025-10-26
Phoenix-ETD,T-PH-08,Harness,VendorA,50,73,0.0,,2025-09-29,2025-09-09,2025-09-04
Phoenix-ETD,T-PH-08,Vac Pump,VendorF,57,86,9599.55,Late ECO,2025-10-29,2025-10-04,2025-10-04
Helios-NewBay,T-HE-04,Control Cabinet,VendorE,74,100,2852.38,Priority build,2025-08-08,2025-07-19,
Helios-NewBay,T-HE-02,Tool Frame,VendorC,140,155,0.0,,2026-01-04,2026-01-10,2026-02-01
Atlas-Sustaining,T-AT-09,Control Cabinet,VendorD,119,148,0.0,,2026-06-25,2026-06-05,2026-06-05
Orion-Ramp,T-OR-03,Sensors Kit,VendorD,110,161,7188.94,Capacity constraint,2026-06-29,2026-06-03,2026-06-01
Orion-Ramp,T-OR-10,Gas Box,VendorE,125,146,0.0,,2026-04-04,2026-04-24,2026-05-03
Helios-NewBay,T-HE-05,Vac Pump,VendorA,103,128,0.0,,2025-12-11,2025-12-14,2025-12-30
Phoenix-ETD,T-PH-09,Sensors Kit,VendorD,166,161,264.58,Capacity constraint,2025-11-07,2025-10-25,2025-11-04
Atlas-Sustaining,T-AT-09,Gas Box,VendorB,84,78,0.0,,2026-06-21,2026-07-10,
Orion-Ramp,T-OR-10,Gas Box,VendorA,176,211,10488.41,Rework,2025-11-18,2025-10-29,2025-10-20
Phoenix-ETD,T-PH-07,Harness,VendorA,81,100,0.0,,2025-11-15,2025-11-21,
Orion-Ramp,T-OR-03,Pressure Transducer,VendorB,59,43,541.18,Priority build,2025-11-16,2025-11-29,2025-12-21
Phoenix-ETD,T-PH-04,Harness,VendorB,84,81,9370.97,Priority build,2025-10-12,2025-10-19,
Nova-Upgrade,T-NO-09,Vac Pump,VendorD,48,75,0.0,,2025-07-12,2025-07-24,
Nova-Upgrade,T-NO-02,Harness,VendorF,50,28,0.0,,2026-04-30,2026-05-17,2026-05-28
Orion-Ramp,T-OR-02,Sensors Kit,VendorA,162,151,0.0,,2026-03-18,2026-02-22,2026-02-28
Phoenix-ETD,T-PH-05,RF Gen,VendorF,92,131,0.0,,2026-03-02,2026-03-21,2026-03-18
Nova-Upgrade,T-NO-10,RF Gen,VendorA,137,138,0.0,,2025-10-01,2025-09-11,2025-09-21
Phoenix-ETD,T-PH-08,Gas Box,VendorB,122,134,0.0,,2025-08-13,2025-08-23,2025-08-31
Nova-Upgrade,T-NO-06,Tool Frame,VendorD,151,127,3736.36,Air freight,2026-06-07,2026-06-19,2026-06-09
Phoenix-ETD,T-PH-03,Gas Box,VendorE,172,130,0.0,,2026-01-23,2025-12-16,
Phoenix-ETD,T-PH-07,Pressure Transducer,VendorD,51,47,0.0,,2025-09-16,2025-09-18,
Atlas-Sustaining,T-AT-05,Valve Manifold,VendorB,111,147,0.0,,2025-07-16,2025-07-25,
Helios-NewBay,T-HE-07,Control Cabinet,VendorC,131,208,11390.81,Priority build,2025-09-24,2025-08-28,2025-08-29
Atlas-Sustaining,T-AT-07,MFC,VendorF,173,190,0.0,,2025-09-01,2025-08-01,2025-07-27
Nova-Upgrade,T-NO-04,Pressure Transducer,VendorB,120,151,3111.61,Air freight,2025-11-28,2025-11-14,2025-11-15
Nova-Upgrade,T-NO-02,Pressure Transducer,VendorA,80,54,2550.77,Capacity constraint,2026-02-02,2025-12-26,
Helios-NewBay,T-HE-01,MFC,VendorC,40,76,465.56,Priority build,2026-03-12,2026-02-15,2026-02-16
Phoenix-ETD,T-PH-07,Vac Pump,VendorA,76,61,0.0,,2026-06-21,2026-07-04,2026-07-11
Phoenix-ETD,T-PH-08,Chiller,VendorB,87,65,7268.01,Priority build,2025-07-07,2025-06-13,
Helios-NewBay,T-HE-05,Control Cabinet,VendorE,55,56,0.0,,2025-12-31,2025-11-30,2025-12-04
Nova-Upgrade,T-NO-01,Vac Pump,VendorD,29,29,2334.18,Supplier expedite,2025-11-03,2025-10-30,2025-10-22
Helios-NewBay,T-HE-07,Tool Frame,VendorE,126,96,3702.47,Rework,2025-10-18,2025-10-10,2025-10-14
Orion-Ramp,T-OR-07,Vac Pump,VendorC,65,135,0.0,,2026-05-31,2026-06-09,2026-06-05
Orion-Ramp,T-OR-09,RF Gen,VendorD,116,176,0.0,,2026-04-13,2026-04-22,
Orion-Ramp,T-OR-04,Vac Pump,VendorB,75,93,1057.72,Late ECO,2025-09-06,2025-09-26,2025-09-18
Helios-NewBay,T-HE-05,Vac Pump,VendorE,160,199,0.0,,2025-10-19,2025-10-23,
Phoenix-ETD,T-PH-07,Control Cabinet,VendorA,103,133,0.0,,2026-04-30,2026-05-11,
Phoenix-ETD,T-PH-04,Gas Box,VendorD,34,82,8525.67,Supplier expedite,2026-06-10,2026-05-22,2026-06-01
Atlas-Sustaining,T-AT-05,Vac Pump,VendorF,104,116,9025.55,Air freight,2026-01-09,2025-12-03,2026-01-01
Atlas-Sustaining,T-AT-09,MFC,VendorB,96,117,0.0,,2026-01-23,2026-02-01,2026-02-25
Orion-Ramp,T-OR-07,Valve Manifold,VendorA,33,47,1861.47,Missing parts,2026-02-13,2026-01-23,2026-01-20
Helios-NewBay,T-HE-10,Control Cabinet,VendorE,82,45,98.82,Priority build,2026-05-18,2026-04-17,2026-05-13
Helios-NewBay,T-HE-07,Control Cabinet,VendorA,128,111,0.0,,2026-05-24,2026-05-07,2026-05-01
Atlas-Sustaining,T-AT-03,Vac Pump,VendorE,88,91,214.69,Supplier expedite,2026-05-05,2026-05-03,2026-05-24
Orion-Ramp,T-OR-06,RF Gen,VendorE,128,170,0.0,,2026-03-30,2026-03-26,2026-03-28
Atlas-Sustaining,T-AT-06,Vac Pump,VendorA,85,91,11495.75,Air freight,2025-07-23,2025-07-16,2025-08-02
Helios-NewBay,T-HE-09,Control Cabinet,VendorC,163,160,3201.21,Air freight,2025-09-28,2025-10-02,
Orion-Ramp,T-OR-04,MFC,VendorE,155,177,2213.33,Capacity constraint,2026-03-01,2026-02-03,2026-02-23
Orion-Ramp,T-OR-10,Control Cabinet,VendorC,38,9,0.0,,2025-08-13,2025-08-23,2025-08-22
Atlas-Sustaining,T-AT-09,Gas Box,VendorD,87,84,8349.13,Supplier expedite,2026-06-24,2026-06-17,2026-06-24
Phoenix-ETD,T-PH-01,Valve Manifold,VendorC,151,110,4274.24,Capacity constraint,2026-05-13,2026-05-17,
Nova-Upgrade,T-NO-07,Control Cabinet,VendorA,131,179,9222.34,Capacity constraint,2026-02-28,2026-01-29,
Orion-Ramp,T-OR-06,RF Gen,VendorB,90,71,0.0,,2025-08-05,2025-07-03,2025-07-31
Atlas-Sustaining,T-AT-04,MFC,VendorB,36,8,0.0,,2025-08-02,2025-07-09,
Nova-Upgrade,T-NO-03,Vac Pump,VendorB,23,23,0.0,,2025-11-16,2025-10-18,2025-10-14
Orion-Ramp,T-OR-03,Pressure Transducer,VendorB,108,142,0.0,,2026-04-25,2026-04-17,2026-04-27
Nova-Upgrade,T-NO-02,Control Cabinet,VendorF,86,135,0.0,,2026-04-29,2026-04-03,2026-04-27
Phoenix-ETD,T-PH-01,Tool Frame,VendorD,47,104,0.0,,2026-01-07,2025-11-30,2025-12-16
Helios-NewBay,T-HE-02,Harness,VendorE,67,58,0.0,,2026-05-23,2026-06-09,2026-07-08
Phoenix-ETD,T-PH-05,Pressure Transducer,VendorE,20,9,117.8,Air freight,2025-07-14,2025-06-30,2025-07-25
Orion-Ramp,T-OR-03,Tool Frame,VendorF,48,62,0.0,,2025-11-15,2025-10-29,
Nova-Upgrade,T-NO-04,Control Cabinet,VendorD,51,40,0.0,,2026-01-09,2026-01-26,2026-02-12
Atlas-Sustaining,T-AT-02,Harness,VendorF,176,232,3531.96,Rework,2026-01-06,2026-01-23,2026-02-17
Orion-Ramp,T-OR-01,Pressure Transducer,VendorD,51,38,0.0,,2026-03-18,2026-03-09,2026-03-26
Atlas-Sustaining,T-AT-10,Chiller,VendorF,31,55,7569.62,Supplier expedite,2026-06-25,2026-06-29,
Orion-Ramp,T-OR-07,Sensors Kit,VendorF,100,133,0.0,,2025-09-22,2025-10-10,
Phoenix-ETD,T-PH-04,Chiller,VendorF,162,211,0.0,,2025-08-12,2025-07-19,2025-08-02
Atlas-Sustaining,T-AT-04,MFC,VendorE,170,140,0.0,,2025-08-21,2025-08-21,2025-08-17
Nova-Upgrade,T-NO-08,Pressure Transducer,VendorD,132,187,0.0,,2026-04-19,2026-03-27,2026-03-25
Helios-NewBay,T-HE-03,Gas Box,VendorC,80,105,0.0,,2026-05-17,2026-05-24,2026-06-05
Helios-NewBay,T-HE-05,Pressure Transducer,VendorF,62,52,698.74,Air freight,2026-02-11,2026-01-26,2026-02-15
Phoenix-ETD,T-PH-05,Vac Pump,VendorC,30,20,0.0,,2026-04-14,2026-03-30,2026-03-29
Orion-Ramp,T-OR-06,Gas Box,VendorB,51,43,0.0,,2026-01-16,2026-02-02,2026-01-27
Nova-Upgrade,T-NO-10,Vac Pump,VendorE,172,253,0.0,,2025-12-02,2025-11-20,2025-11-20
Helios-NewBay,T-HE-02,Pressure Transducer,VendorE,100,77,0.0,,2026-05-15,2026-05-19,2026-05-19
Atlas-Sustaining,T-AT-06,Valve Manifold,VendorA,155,147,0.0,,2026-05-12,2026-05-02,
Atlas-Sustaining,T-AT-03,Pressure Transducer,VendorD,35,66,2128.9,Late ECO,2026-03-30,2026-02-22,2026-02-18
Atlas-Sustaining,T-AT-10,Valve Manifold,VendorC,137,184,3621.1,Missing parts,2026-06-11,2026-05-28,2026-06-14
Phoenix-ETD,T-PH-06,Pressure Transducer,VendorB,150,212,0.0,,2026-02-22,2026-02-21,2026-02-28
Atlas-Sustaining,T-AT-04,Pressure Transducer,VendorC,110,127,0.0,,2026-02-02,2026-02-22,2026-03-17
Helios-NewBay,T-HE-09,Sensors Kit,VendorD,29,36,3630.5,Air freight,2025-07-28,2025-08-13,
Orion-Ramp,T-OR-10,Gas Box,VendorD,52,122,0.0,,2026-05-16,2026-04-20,2026-05-04
Phoenix-ETD,T-PH-02,Chiller,VendorA,64,86,3385.99,Missing parts,2025-08-09,2025-08-16,
Nova-Upgrade,T-NO-07,Sensors Kit,VendorE,99,61,2516.55,Missing parts,2026-02-17,2026-03-09,
Phoenix-ETD,T-PH-10,RF Gen,VendorC,170,216,0.0,,2026-02-02,2026-01-24,2026-02-02
Orion-Ramp,T-OR-04,Harness,VendorA,55,72,6631.21,Missing parts,2026-01-12,2025-12-13,
Nova-Upgrade,T-NO-10,Tool Frame,VendorE,91,130,0.0,,2026-04-11,2026-04-14,2026-04-19
Orion-Ramp,T-OR-09,Control Cabinet,VendorC,114,106,3726.43,Priority build,2026-02-28,2026-01-27,2026-01-21
Orion-Ramp,T-OR-02,Chiller,VendorF,134,167,3810.35,Missing parts,2025-12-26,2026-01-07,
Atlas-Sustaining,T-AT-03,Vac Pump,VendorE,167,215,0.0,,2026-03-19,2026-02-24,2026-02-18
Phoenix-ETD,T-PH-08,Pressure Transducer,VendorB,119,120,0.0,,2026-02-06,2026-01-29,2026-02-27
Atlas-Sustaining,T-AT-01,Valve Manifold,VendorA,82,90,0.0,,2025-10-19,2025-10-12,2025-11-05
Orion-Ramp,T-OR-02,Sensors Kit,VendorD,93,84,0.0,,2025-08-16,2025-08-07,
Nova-Upgrade,T-NO-02,Harness,VendorB,69,94,8810.23,Supplier expedite,2025-11-13,2025-11-09,
Orion-Ramp,T-OR-05,Gas Box,VendorC,161,162,0.0,,2026-03-06,2026-01-29,2026-01-24
Nova-Upgrade,T-NO-06,Chiller,VendorC,46,13,4868.67,Priority build,2025-08-29,2025-08-10,2025-07-31
Helios-NewBay,T-HE-03,Vac Pump,VendorE,127,156,0.0,,2026-02-21,2026-02-03,2026-01-28
Orion-Ramp,T-OR-01,RF Gen,VendorD,106,79,0.0,,2026-06-05,2026-05-10,2026-06-07
Phoenix-ETD,T-PH-01,MFC,VendorA,64,96,0.0,,2026-05-10,2026-04-08,
Phoenix-ETD,T-PH-07,Chiller,VendorB,154,186,0.0,,2025-09-04,2025-09-03,2025-09-03
Helios-NewBay,T-HE-07,Sensors Kit,VendorF,79,60,0.0,,2026-03-23,2026-04-01,2026-04-25
Atlas-Sustaining,T-AT-08,Pressure Transducer,VendorC,45,80,0.0,,2026-05-05,2026-04-10,2026-04-09
Phoenix-ETD,T-PH-07,RF Gen,VendorE,124,86,0.0,,2026-03-16,2026-03-19,2026-04-06
Atlas-Sustaining,T-AT-03,MFC,VendorD,89,120,10233.57,Capacity constraint,2026-05-07,2026-04-07,2026-05-05
Orion-Ramp,T-OR-07,Valve Manifold,VendorF,83,84,0.0,,2025-09-22,2025-10-11,2025-11-06
Phoenix-ETD,T-PH-05,Gas Box,VendorE,156,90,0.0,,2025-10-15,2025-09-19,2025-09-21
Nova-Upgrade,T-NO-02,Sensors Kit,VendorD,144,119,0.0,,2026-05-02,2026-03-24,2026-04-03
Orion-Ramp,T-OR-09,Sensors Kit,VendorC,143,142,0.0,,2026-01-29,2026-01-19,2026-01-16
Atlas-Sustaining,T-AT-03,Pressure Transducer,VendorF,156,162,0.0,,2025-10-02,2025-09-29,2025-10-28
Atlas-Sustaining,T-AT-04,RF Gen,VendorD,161,215,0.0,,2025-08-25,2025-08-24,2025-08-17
Atlas-Sustaining,T-AT-04,Pressure Transducer,VendorA,49,49,0.0,,2026-06-28,2026-07-02,2026-07-16
Helios-NewBay,T-HE-02,Harness,VendorD,65,73,0.0,,2025-12-01,2025-11-06,2025-11-08
Atlas-Sustaining,T-AT-05,Tool Frame,VendorA,79,31,0.0,,2026-02-09,2026-02-17,2026-02-09
Atlas-Sustaining,T-AT-04,RF Gen,VendorA,136,150,0.0,,2025-11-26,2025-12-16,
Nova-Upgrade,T-NO-05,Sensors Kit,VendorD,166,197,0.0,,2025-08-12,2025-08-27,
Atlas-Sustaining,T-AT-09,MFC,VendorE,89,114,3469.06,Late ECO,2025-10-03,2025-09-25,2025-09-25
Helios-NewBay,T-HE-09,Chiller,VendorF,173,168,0.0,,2026-03-09,2026-03-04,
Phoenix-ETD,T-PH-03,Chiller,VendorC,146,175,0.0,,2025-10-19,2025-10-05,2025-11-03
Phoenix-ETD,T-PH-09,Sensors Kit,VendorA,146,211,870.33,Supplier expedite,2025-10-27,2025-10-26,2025-11-13
