program,workstream,tool_id,capex_category,vendor,fiscal_month,planned_spend_usd,actual_spend_usd,forecast_spend_usd,po_date,install_date_planned,install_date_actual,status
Phoenix-ETD,Facilities,T-PH-02,SpareParts,VendorC,2024-08,141626.0,176907.17,157502.53,2024-08-17,2024-09-11,2024-09-23,Installed
Phoenix-ETD,Facilities,T-PH-02,Tooling,VendorC,2024-09,223509.0,218999.01,221479.5,2024-09-19,2024-12-26,2025-01-27,Installed
Phoenix-ETD,Facilities,T-PH-02,TestEquipment,VendorC,2024-09,25947.0,24497.78,25294.85,2024-09-19,2025-01-28,,Planned
Phoenix-ETD,Facilities,T-PH-02,Facilities,VendorC,2024-09,221946.0,265097.44,241364.15,2024-09-11,2024-12-06,2024-12-22,Installed
Phoenix-ETD,Facilities,T-PH-02,Fixtures,VendorC,2024-10,21485.0,21523.24,21502.21,2024-10-02,2024-12-27,,Planned
Phoenix-ETD,Facilities,T-PH-02,IT/Network,VendorC,2024-10,239383.0,200970.72,222097.47,2024-10-15,2024-11-05,2024-10-30,Installed
Phoenix-ETD,Facilities,T-PH-02,Tooling,VendorC,2024-10,225482.0,227868.13,226555.76,2024-10-12,2025-02-20,2025-03-12,Installed
Phoenix-ETD,Facilities,T-PH-02,TestEquipment,VendorC,2024-11,54659.0,68308.9,60801.45,2024-11-12,2024-12-06,2024-12-31,Installed
Phoenix-ETD,Facilities,T-PH-02,Tooling,VendorC,2024-11,130968.0,144592.34,137098.95,2024-11-11,2025-01-04,2025-01-08,Installed
Phoenix-ETD,Facilities,T-PH-02,Fixtures,VendorC,2024-11,132897.0,132055.62,132518.38,2024-11-12,2025-03-17,,Planned
Phoenix-ETD,Facilities,T-PH-02,Facilities,VendorC,2024-12,156060.0,135840.02,146961.01,2024-12-21,2025-02-24,2025-02-13,Installed
Phoenix-ETD,Facilities,T-PH-02,Fixtures,VendorC,2024-12,237719.0,173967.67,209030.9,2024-12-23,2025-01-16,2025-02-12,Installed
Phoenix-ETD,Facilities,T-PH-02,IT/Network,VendorC,2024-12,259496.0,218610.46,241097.51,2024-12-21,2025-03-30,2025-03-27,Installed
Phoenix-ETD,Facilities,T-PH-02,TestEquipment,VendorC,2025-01,179243.0,161895.11,171436.45,2025-01-09,2025-03-05,,Planned
Phoenix-ETD,Facilities,T-PH-02,SpareParts,VendorC,2025-01,81855.0,70905.67,76927.8,2025-01-11,2025-03-10,2025-03-17,Installed
Phoenix-ETD,Facilities,T-PH-02,IT/Network,VendorC,2025-01,234306.0,245108.01,239166.9,2025-01-24,2025-05-26,,Planned
Phoenix-ETD,Facilities,T-PH-02,Tooling,VendorC,2025-02,119370.0,121405.91,120286.16,2025-02-08,2025-04-28,2025-04-19,Delayed
Phoenix-ETD,Facilities,T-PH-02,Fixtures,VendorC,2025-02,31254.0,25951.86,28868.04,2025-02-14,2025-05-04,,Planned
Phoenix-ETD,Facilities,T-PH-02,TestEquipment,VendorC,2025-02,298358.0,336098.41,315341.18,2025-02-11,2025-04-27,2025-05-23,Installed
Phoenix-ETD,Facilities,T-PH-02,TestEquipment,VendorC,2025-03,206287.0,129246.76,171618.89,2025-03-12,2025-06-19,,Planned
Phoenix-ETD,Facilities,T-PH-02,IT/Network,VendorC,2025-03,168307.0,193803.82,179780.57,2025-03-13,2025-06-25,2025-07-05,Installed
Phoenix-ETD,Facilities,T-PH-02,Facilities,VendorC,2025-03,26445.0,31693.65,28806.89,2025-03-13,2025-05-25,,Planned
Phoenix-ETD,Facilities,T-PH-02,Fixtures,VendorC,2025-04,51622.0,39429.15,46135.22,2025-04-18,2025-06-20,2025-07-07,Installed
Phoenix-ETD,Facilities,T-PH-02,TestEquipment,VendorC,2025-04,268208.0,231775.9,251813.55,2025-04-07,2025-05-19,2025-05-30,Installed
Phoenix-ETD,Facilities,T-PH-02,Facilities,VendorC,2025-04,32137.0,31886.06,32024.08,2025-04-25,2025-08-26,,Planned
Phoenix-ETD,Facilities,T-PH-02,SpareParts,VendorC,2025-05,98745.0,92292.5,95841.38,2025-05-17,2025-07-26,2025-07-30,Installed
Phoenix-ETD,Facilities,T-PH-02,TestEquipment,VendorC,2025-05,215774.0,215151.38,215493.82,2025-05-02,2025-06-29,2025-07-02,Delayed
Phoenix-ETD,Facilities,T-PH-02,Facilities,VendorC,2025-05,151542.0,148598.72,150217.52,2025-05-15,2025-08-17,2025-08-21,Installed
Phoenix-ETD,Facilities,T-PH-02,SpareParts,VendorC,2025-06,227574.0,231652.2,229409.19,2025-06-23,2025-09-03,2025-08-22,Installed
Phoenix-ETD,Facilities,T-PH-02,TestEquipment,VendorC,2025-06,51099.0,52161.75,51577.24,2025-06-13,2025-07-19,,Planned
Phoenix-ETD,Facilities,T-PH-02,Fixtures,VendorC,2025-06,114234.0,110340.31,112481.84,2025-06-05,2025-10-07,,Planned
Phoenix-ETD,Facilities,T-PH-02,Fixtures,VendorC,2025-07,288895.0,273903.51,282148.83,2025-07-11,2025-08-19,2025-09-15,Installed
Phoenix-ETD,Facilities,T-PH-02,Tooling,VendorC,2025-07,14371.0,15202.14,14745.01,2025-07-01,2025-08-22,2025-09-01,Installed
Phoenix-ETD,Facilities,T-PH-02,SpareParts,VendorC,2025-07,63379.0,67281.29,65135.03,2025-07-21,2025-09-29,2025-10-17,Delayed
Phoenix-ETD,Facilities,T-PH-02,Fixtures,VendorC,2025-08,56665.0,55673.21,56218.69,2025-08-15,2025-11-23,,Planned
Phoenix-ETD,Facilities,T-PH-02,SpareParts,VendorC,2025-08,17740.0,15069.81,16538.42,2025-08-17,2025-10-18,,Planned
Phoenix-ETD,Facilities,T-PH-02,IT/Network,VendorC,2025-08,233939.0,261315.75,246258.54,2025-08-02,2025-12-06,,Planned
Phoenix-ETD,Facilities,T-PH-02,Tooling,VendorC,2025-09,90208.0,89781.73,90016.18,2025-09-08,2026-01-08,2026-02-03,Delayed
Phoenix-ETD,Facilities,T-PH-02,TestEquipment,VendorC,2025-09,118904.0,112543.12,116041.61,2025-09-16,2026-01-08,2026-01-26,Delayed
Phoenix-ETD,Facilities,T-PH-02,Fixtures,VendorC,2025-09,269615.0,315288.58,290168.11,2025-09-16,2025-11-20,,Planned
Phoenix-ETD,Facilities,T-PH-02,Facilities,VendorC,2025-10,158734.0,141507.89,150982.25,2025-10-07,2026-01-18,2026-02-08,Installed
Phoenix-ETD,Facilities,T-PH-02,SpareParts,VendorC,2025-10,256929.0,283524.07,268896.78,2025-10-14,2025-11-12,,Planned
Phoenix-ETD,Facilities,T-PH-02,Tooling,VendorC,2025-10,170662.0,181739.62,175646.93,2025-10-05,2026-02-18,2026-02-25,Installed
Phoenix-ETD,Facilities,T-PH-02,Fixtures,VendorC,2025-11,133132.0,122717.3,128445.38,2025-11-23,2026-01-27,2026-02-23,Installed
Phoenix-ETD,Facilities,T-PH-02,TestEquipment,VendorC,2025-11,36520.0,31429.25,34229.16,2025-11-20,2025-12-19,2025-12-11,Installed
Phoenix-ETD,Facilities,T-PH-02,Facilities,VendorC,2025-11,240139.0,235463.77,238035.14,2025-11-06,2026-02-25,,Planned
Phoenix-ETD,Facilities,T-PH-02,IT/Network,VendorC,2025-12,282373.0,271282.06,277382.08,2025-12-11,2026-01-15,2026-01-25,Installed
Phoenix-ETD,Facilities,T-PH-02,SpareParts,VendorC,2025-12,44101.0,46506.37,45183.42,2025-12-15,2026-03-11,2026-03-21,Installed
Phoenix-ETD,Facilities,T-PH-02,Facilities,VendorC,2025-12,34475.0,35673.42,35014.29,2025-12-21,2026-03-23,,Planned
Phoenix-ETD,Hardware,T-PH-03,TestEquipment,VendorB,2024-01,179055.0,216544.21,195925.14,2024-01-16,2024-04-29,,Planned
Phoenix-ETD,Hardware,T-PH-03,IT/Network,VendorB,2024-01,260083.0,259914.43,260007.14,2024-01-24,2024-04-29,2024-04-22,Installed
Phoenix-ETD,Hardware,T-PH-03,SpareParts,VendorB,2024-01,119695.0,95437.06,108778.93,2024-01-04,2024-03-10,,Planned
Phoenix-ETD,Hardware,T-PH-03,TestEquipment,VendorB,2024-02,104475.0,128889.32,115461.44,2024-02-25,2024-04-12,2024-04-07,Installed
Phoenix-ETD,Hardware,T-PH-03,SpareParts,VendorB,2024-02,259999.0,177891.43,223050.6,2024-02-12,2024-04-22,,Planned
Phoenix-ETD,Hardware,T-PH-03,IT/Network,VendorB,2024-02,139940.0,156108.67,147215.9,2024-02-13,2024-03-13,,Planned
Phoenix-ETD,Hardware,T-PH-03,Tooling,VendorB,2024-03,185489.0,229646.24,205359.76,2024-03-07,2024-06-19,2024-06-07,Installed
Phoenix-ETD,Hardware,T-PH-03,TestEquipment,VendorB,2024-03,113548.0,130636.27,121237.72,2024-03-19,2024-06-21,2024-06-19,Installed
Phoenix-ETD,Hardware,T-PH-03,IT/Network,VendorB,2024-03,162514.0,195096.96,177176.33,2024-03-02,2024-06-26,,Planned
Phoenix-ETD,Hardware,T-PH-03,Tooling,VendorB,2024-04,243336.0,305306.34,271222.65,2024-04-12,2024-08-13,2024-07-29,Installed
Phoenix-ETD,Hardware,T-PH-03,Fixtures,VendorB,2024-04,11659.0,15387.07,13336.63,2024-04-15,2024-08-04,,Planned
Phoenix-ETD,Hardware,T-PH-03,SpareParts,VendorB,2024-04,121086.0,133340.68,126600.6,2024-04-07,2024-06-17,2024-06-25,Delayed
Phoenix-ETD,Hardware,T-PH-03,Fixtures,VendorB,2024-05,293096.0,252460.64,274810.09,2024-05-08,2024-08-25,,Planned
Phoenix-ETD,Hardware,T-PH-03,TestEquipment,VendorB,2024-05,123738.0,139991.19,131051.93,2024-05-02,2024-07-29,2024-08-11,Installed
Phoenix-ETD,Hardware,T-PH-03,SpareParts,VendorB,2024-05,178028.0,144062.85,162743.68,2024-05-16,2024-08-12,2024-09-04,Installed
Phoenix-ETD,Hardware,T-PH-03,Tooling,VendorB,2024-06,180892.0,175080.23,178276.7,2024-06-11,2024-07-24,2024-08-16,Installed
Phoenix-ETD,Hardware,T-PH-03,Facilities,VendorB,2024-06,152371.0,227206.2,186046.84,2024-06-23,2024-10-19,,Planned
Phoenix-ETD,Hardware,T-PH-03,SpareParts,VendorB,2024-06,249474.0,349491.34,294481.8,2024-06-14,2024-08-10,,Planned
Phoenix-ETD,Hardware,T-PH-03,Tooling,VendorB,2024-07,126875.0,156436.57,140177.71,2024-07-18,2024-10-11,2024-10-04,Installed
Phoenix-ETD,Hardware,T-PH-03,SpareParts,VendorB,2024-07,172160.0,228037.06,197304.68,2024-07-17,2024-11-24,,Planned
Phoenix-ETD,Hardware,T-PH-03,Fixtures,VendorB,2024-07,121367.0,106525.5,114688.33,2024-07-07,2024-10-07,2024-11-03,Installed
Phoenix-ETD,Hardware,T-PH-03,IT/Network,VendorB,2024-08,164732.0,156371.86,160969.94,2024-08-09,2024-10-27,2024-11-04,Installed
Phoenix-ETD,Hardware,T-PH-03,Tooling,VendorB,2024-08,238121.0,214879.74,227662.43,2024-08-05,2024-12-20,2024-12-31,Installed
Phoenix-ETD,Hardware,T-PH-03,Facilities,VendorB,2024-08,211974.0,256028.36,231798.46,2024-08-04,2024-11-02,2024-12-06,Installed
Phoenix-ETD,Hardware,T-PH-03,IT/Network,VendorB,2024-09,137738.0,110522.68,125491.11,2024-09-21,2025-01-24,,Planned
Phoenix-ETD,Hardware,T-PH-03,Tooling,VendorB,2024-09,236604.0,157489.25,201002.36,2024-09-14,2024-10-23,2024-11-07,Installed
Phoenix-ETD,Hardware,T-PH-03,SpareParts,VendorB,2024-09,201909.0,193036.2,197916.24,2024-09-13,2024-10-19,,Planned
Phoenix-ETD,Hardware,T-PH-03,Fixtures,VendorB,2024-10,291600.0,213061.17,256257.53,2024-10-02,2025-02-12,2025-02-03,Installed
Phoenix-ETD,Hardware,T-PH-03,IT/Network,VendorB,2024-10,127932.0,144200.23,135252.7,2024-10-15,2024-12-19,,Planned
Phoenix-ETD,Hardware,T-PH-03,TestEquipment,VendorB,2024-10,19834.0,19847.54,19840.09,2024-10-20,2024-12-09,2024-12-15,Installed
Phoenix-ETD,Hardware,T-PH-03,Fixtures,VendorB,2024-11,228942.0,228162.42,228591.19,2024-11-14,2025-03-24,,Planned
Phoenix-ETD,Hardware,T-PH-03,Facilities,VendorB,2024-11,27477.0,27445.81,27462.97,2024-11-19,2025-01-31,2025-01-22,Installed
Phoenix-ETD,Hardware,T-PH-03,IT/Network,VendorB,2024-11,240448.0,234882.73,237943.63,2024-11-24,2025-02-02,2025-02-22,Installed
Phoenix-ETD,Hardware,T-PH-03,IT/Network,VendorB,2024-12,109639.0,99291.6,104982.67,2024-12-25,2025-02-08,2025-01-30,Installed
Phoenix-ETD,Hardware,T-PH-03,Facilities,VendorB,2024-12,215407.0,195330.68,206372.65,2024-12-03,2024-12-28,,Planned
Phoenix-ETD,Hardware,T-PH-03,TestEquipment,VendorB,2024-12,282008.0,311158.16,295125.57,2024-12-09,2025-03-12,,Planned
Phoenix-ETD,Hardware,T-PH-03,Tooling,VendorB,2025-01,152583.0,147485.9,150289.31,2025-01-15,2025-05-15,2025-05-28,Installed
Phoenix-ETD,Hardware,T-PH-03,SpareParts,VendorB,2025-01,189476.0,180988.93,185656.82,2025-01-25,2025-06-04,2025-06-29,Installed
Phoenix-ETD,Hardware,T-PH-03,TestEquipment,VendorB,2025-01,214003.0,266404.01,237583.46,2025-01-23,2025-04-11,2025-04-09,Delayed
